rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C21H42NO7P	[M + H]+	C21H42NO7P	0.9999999999999999	8073.28220096681	8073.28220096681	0.0	42	0.9005836575875484	2.2984791851190978	2.2984791851190978	1.0650500708578132	LPE(16:1)	452.27765	628.9690017700195	13051_ccaSettlementSiriusPostBlanks_37299
1	C21H42NO7P	[M + H]+	C21H42NO7P	0.9999999999999999	8073.272436568932	8073.272436568932	0.0	42	0.9005836575875484	2.2984791851190978	2.2984791851190978	0.6220022814520114	LPE(16:1)	452.27745	622.7430152893066	13050_ccaSettlementSiriusPostBlanks_37298
2	C22H36O5	[M + H3N + H]+	C22H39NO5	0.9999999999999999	7082.278802709083	7082.278802709083	0.0	38	0.8361344537815127	3.048077453729361	3.048077453729361	0.9250681646659648	DG(9:2_10:1)	398.29047	599.9879837036133	10724_ccaSettlementSiriusPostBlanks_29750
3	C19H35NO3	[M + O + H]+	C19H35NO4	0.9999999999999999	6203.222293752625	6203.222293752625	0.0	54	0.9546475078581053	2.1011247860827837	2.218212656599132	1.4696915556874548	Cer(d9:0_10:2)	342.26439	588.013973236084	7184_ccaSettlementSiriusPostBlanks_19620
4	C33H62O6	[M + Na]+	C33H62O6	0.9999999999999999	6062.213426767708	6062.213426767708	0.0	29	0.7734836285560922	0.44135085085636505	1.6020284700243128	6.757731492961984	TG(12:0_8:0_10:0)	577.44776	799.5120048522949	14655_ccaSettlementSiriusPostBlanks_44477
5	C19H26O5	[M + H3N + H]+	C19H29NO5	0.9999999999999999	6058.908942322622	6058.908942322622	0.0	33	0.9318702183503659	0.4277469694271196	1.683784878296946	0.33163001543303555	DG(7:2_9:3)	352.21197	499.0460014343262	7832_ccaSettlementSiriusPostBlanks_21364
6	C22H28O5	[M + H3N + H]+	C22H31NO5	0.9999999999999999	5117.04633568685	5117.04633568685	0.0	46	0.8212634822804317	-0.5498454812331298	2.753930445558285	0.22680126419912436	DG(9:3_10:4)	390.22759	365.3279972076416	10169_ccaSettlementSiriusPostBlanks_28287
6	C22H28O5	[M + H3N + H]+	C22H31NO5	0.9999999999999999	5114.915935265952	5114.915935265952	0.0	41	0.7718742383621744	0.21594516307762607	1.4546491263942862	0.19543948626250107	DG(9:3_10:4)	390.22758	365.3279972076416	10170_ccaSettlementSiriusPostBlanks_28288
7	C21H34O5	[M + H3N + H]+	C21H37NO5	0.9999999999999999	5075.60161889502	5071.112177843794	4.489441051226217	34	0.8074974670719354	1.7543545343028435	2.1498162000932863	0.33392795728007807	DG(8:2_10:1)	384.27458	568.080997467041	9903_ccaSettlementSiriusPostBlanks_27282
8	C27H44O5	[M + H3N + H]+	C27H47NO5	0.9999999999999999	4178.761271218986	4178.761271218986	0.0	58	0.9865453613531524	0.8056281742225496	1.867155000167322	0.4416546789467127	DG(15:3_9:1)	466.35291	688.1629943847656	13469_ccaSettlementSiriusPostBlanks_38776
