featureNumber,network,superclass,class,subclass,Compound_Name,FSW,PPL,size
337,108,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,Massbank:LU046802 4-Pentylaniline,14502.889,526519.6,5.721414542688472
338,108,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines,Massbank:LU046802 4-Pentylaniline,3458.958,273238.86,5.436542464714509
389,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,8632.0815,36382.94633333333,4.560897865824121
490,1885,Lipids and lipid-like molecules,NA,NA,NA,50254.363,131876.562,5.120167616633907
511,3496,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,139699.18,556838.2933333333,5.745729093720881
542,3054,Organic acids and derivatives,NA,NA,NA,142262.5128,97012.12833333333,4.986826032606183
543,3054,Organic acids and derivatives,NA,NA,Yohimbinic acid monohydrate,405275.30000000005,3014285.2333333334,6.479184345988418
544,3054,Organic acids and derivatives,NA,NA,NA,239319.15,2130953.8333333335,6.328574040917502
545,3054,Organic acids and derivatives,NA,NA,NA,11192.146,183326.91333333333,5.2632262263051635
546,3054,Organic acids and derivatives,NA,NA,NA,22832.0545,226210.27666666664,5.3545123309088245
553,3107,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,85278.567,259049.40333333332,5.41338259631687
554,3107,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,145536.315,214802.17666666667,5.332038677909886
626,12836,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,22049.874,54228.719,4.734229345578695
627,12836,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,343657.47,870644.8133333334,5.939841017154599
629,12836,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,673618.12,847365.48,5.92807076772388
630,12836,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,847742.95,1654032.1666666667,6.218543951208061
632,12836,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,82689.005,155139.26466666666,5.190721728632171
765,702,Unknown,NA,NA,Spectral Match to (-)-Perillyl alcohol from NIST14,27910.4865,184078.88,5.265003963269781
766,702,Unknown,NA,NA,Spectral Match to (-)-Perillyl alcohol from NIST14,57389.484,322450.0933333333,5.508462506980123
767,702,Unknown,NA,NA,Spectral Match to (-)-Perillyl alcohol from NIST14,67620.939,615883.38,5.7894984845389
768,702,Unknown,NA,NA,Spectral Match to (-)-Perillyl alcohol from NIST14,42373.479999999996,510561.93333333335,5.708048431385648
769,702,Unknown,NA,NA,Spectral Match to (-)-Perillyl alcohol from NIST14,47822.947,270644.7833333333,5.432399660500121
770,702,Unknown,NA,NA,Spectral Match to (-)-Perillyl alcohol from NIST14,34951.922,93426.93133333334,4.970472084404895
771,702,Unknown,NA,NA,Spectral Match to (-)-Perillyl alcohol from NIST14,41722.294,75878.08866666666,4.880116382680853
818,1063,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,41580.375,74328.55333333333,4.871155680153083
820,1063,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,33834.3235,94095.69466666666,4.973569752807867
833,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Spectral Match to Diethyl phthalate from NIST14,6819153.75,12956090.666666666,7.112473978539687
839,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Spectral Match to Diethyl phthalate from NIST14,36035.747,111301.88533333334,5.046502520874946
840,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Spectral Match to Diethyl phthalate from NIST14,27055.815000000002,70463.51066666667,4.847964277011265
842,4679,Benzenoids,Phenol ethers,Anisoles,NA,74388.537,53756.994666666666,4.73043498109922
843,4679,Benzenoids,Phenol ethers,Anisoles,NA,405495.6,581916.5166666667,5.764860684045781
844,4679,Benzenoids,Phenol ethers,Anisoles,NA,97827.805,399908.86,5.601961026055214
845,4679,Benzenoids,Phenol ethers,Anisoles,NA,25428.0235,144432.68866666668,5.159665495871596
846,4679,Benzenoids,Phenol ethers,Anisoles,NA,56590.299,158770.19833333333,5.200768987297616
849,702,Unknown,NA,NA,(3E)-4-(4-methoxyphenyl)but-3-en-2-one,98980.806,24252.889333333333,4.384763485073309
850,702,Unknown,NA,NA,(3E)-4-(4-methoxyphenyl)but-3-en-2-one,74188.7485,54671.886666666665,4.737764061174977
854,702,Unknown,NA,NA,Spectral Match to .delta.-Tocotrienol from NIST14,77433.6225,53903.86033333333,4.731619868367283
855,702,Unknown,NA,NA,(3E)-4-(4-methoxyphenyl)but-3-en-2-one,68142.76000000001,97119.56333333334,4.98730672107107
857,4679,Benzenoids,Phenol ethers,Anisoles,(3E)-4-(4-methoxyphenyl)but-3-en-2-one,47794.76,65901.05266666667,4.818892351827293
859,4679,Benzenoids,Phenol ethers,Anisoles,(3E)-4-(4-methoxyphenyl)but-3-en-2-one,49108.157999999996,69516.15066666667,4.84208571582108
862,702,Unknown,NA,NA,Spectral Match to .delta.-Tocotrienol from NIST14,41490.7345,51291.287333333334,4.710043599333777
863,702,Unknown,NA,NA,NA,17882.188000000002,71317.22666666667,4.8531944462983025
866,4679,Benzenoids,Phenol ethers,Anisoles,NA,71539.5525,118616.34733333334,5.0741445462577435
881,3702,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,"3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one",78939.447,163583.97333333333,5.213740752673673
