Tray,Well,Coral,Date,Treatment code,Treatment,Concentration,Replicate,Directed,Crawling,Not moving,Zombie,Attached/Settled,Total
1,A1,CNAT,10312021,CW,Water control,100,1,7,0,1,0,1,9
1,A2,CNAT,10312021,CW,Water control,100,2,9,0,0,0,1,10
1,A3,CNAT,10312021,CW,Water control,100,3,9,0,0,0,1,10
1,B1,CNAT,10312021,EW,CCA exudate,100,1,0,0,0,0,10,10
1,B2,CNAT,10312021,EW,CCA exudate,100,2,0,2,0,0,8,10
1,B3,CNAT,10312021,EW,CCA exudate,100,3,1,0,0,0,9,10
2,A1,CNAT,10312021,CW,Water control,100,4,7,0,0,0,2,9
2,A2,CNAT,10312021,EW,CCA exudate,100,4,1,0,0,0,9,10
2,A3,CNAT,10312021,FC,Fire coral,100,4,0,0,1,0,9,10
2,B1,CNAT,10312021,CW,Water control,100,5,7,0,0,0,3,10
2,B2,CNAT,10312021,EW,CCA exudate,100,5,0,1,0,0,9,10
2,B3,CNAT,10312021,FC,Fire coral,100,5,0,0,0,0,10,10
3,A1,CNAT,10312021,FC,Fire coral,100,1,0,0,0,0,10,10
3,A2,CNAT,10312021,FC,Fire coral,100,2,0,0,0,0,10,10
3,A3,CNAT,10312021,FC,Fire coral,100,3,0,0,1,0,9,10
3,B1,CNAT,10312021,FH,Fire Coral X CCA,100,1,0,0,1,0,9,10
3,B2,CNAT,10312021,FH,Fire Coral X CCA,100,2,0,0,1,0,9,10
3,B3,CNAT,10312021,FH,Fire Coral X CCA,100,3,0,0,2,0,8,10
4,A1,CNAT,10312021,FH,Fire Coral X CCA,100,4,0,2,0,0,8,10
4,A2,CNAT,10312021,PC,PPL control,100,4,7,0,0,0,3,10
4,A3,CNAT,10312021,EP,PPL,1000,4,6,0,2,0,2,10
4,B1,CNAT,10312021,FH,Fire Coral X CCA,100,5,1,1,3,0,5,10
4,B2,CNAT,10312021,PC,PPL control,100,5,8,0,0,0,2,10
4,B3,CNAT,10312021,EP,PPL,1000,5,1,0,0,0,8,9
5,A1,CNAT,10312021,PC,PPL control,100,1,6,0,0,0,0,6
5,A2,CNAT,10312021,PC,PPL control,100,2,10,0,0,0,0,10
5,A3,CNAT,10312021,PC,PPL control,100,3,7,0,0,1,1,9
5,B1,CNAT,10312021,EP,PPL,1000,1,0,0,1,0,9,10
5,B2,CNAT,10312021,EP,PPL,1000,2,0,1,0,0,8,9
5,B3,CNAT,10312021,EP,PPL,1000,3,0,0,0,0,9,9
6,A1,CNAT,10312021,HC,HLB control,100,1,0,4,0,1,6,11
6,A2,CNAT,10312021,HC,HLB control,100,2,0,5,0,1,3,9
6,A3,CNAT,10312021,HC,HLB control,100,3,8,0,0,0,2,10
6,B1,CNAT,10312021,EH,HLB,1000,1,9,0,0,0,1,10
6,B2,CNAT,10312021,EH,HLB,1000,2,10,0,0,0,0,10
6,B3,CNAT,10312021,EH,HLB,1000,3,7,0,0,0,2,9
7,A1,CNAT,10312021,HC,HLB control,100,4,8,0,0,0,1,9
7,A2,CNAT,10312021,EH,HLB,1000,4,10,0,0,0,0,10
7,A3,CNAT,10312021,CC,C18 control,100,4,9,0,0,0,0,9
7,B1,CNAT,10312021,HC,HLB control,100,5,8,0,1,0,0,9
7,B2,CNAT,10312021,EH,HLB,1000,5,9,0,0,0,1,10
7,B3,CNAT,10312021,CC,C18 control,100,5,7,0,0,0,3,10
8,A1,CNAT,10312021,CC,C18 control,100,1,8,0,1,1,0,10
8,A2,CNAT,10312021,CC,C18 control,100,2,7,0,0,0,2,9
8,A3,CNAT,10312021,CC,C18 control,100,3,7,0,0,0,3,10
8,B1,CNAT,10312021,EC,C18,1000,1,0,4,0,0,6,10
8,B2,CNAT,10312021,EC,C18,1000,2,0,4,1,0,5,10
8,B3,CNAT,10312021,EC,C18,1000,3,0,6,0,0,4,10
9,A1,CNAT,10312021,EC,C18,1000,4,0,5,0,0,5,10
9,A2,CNAT,10312021,EH,HLB,100,4,0,5,0,0,5,10
9,A3,CNAT,10312021,EP,PPL,100,4,0,2,0,0,7,9
9,B1,CNAT,10312021,EC,C18,1000,5,10,0,0,0,0,10
