Tray,Well,Coral,Date,Treatment code,Treatment,Concentration,Replicate,Directed,Crawling,Not moving,Zombie,Attached/Settled,Total
1,A1,CNAT,11022021,CW,Water control,100,1,10,0,0,0,0,10
1,A2,CNAT,11022021,CW,Water control,100,2,8,0,0,0,2,10
1,A3,CNAT,11022021,CW,Water control,100,3,9,0,0,0,1,10
1,B1,CNAT,11022021,EW,CCA exudate,100,1,0,0,0,0,10,10
1,B2,CNAT,11022021,EW,CCA exudate,100,2,2,0,0,0,8,10
1,B3,CNAT,11022021,EW,CCA exudate,100,3,0,0,1,0,9,10
2,A1,CNAT,11022021,CW,Water control,100,4,8,0,0,0,2,10
2,A2,CNAT,11022021,EW,CCA exudate,100,4,2,0,0,0,8,10
2,A3,CNAT,11022021,FC,Fire coral,100,4,0,0,1,0,9,10
2,B1,CNAT,11022021,CW,Water control,100,5,9,0,0,0,1,10
2,B2,CNAT,11022021,EW,CCA exudate,100,5,2,0,0,0,8,10
2,B3,CNAT,11022021,FC,Fire coral,100,5,0,0,0,0,9,9
3,A1,CNAT,11022021,FC,Fire coral,100,1,1,0,0,0,9,10
3,A2,CNAT,11022021,FC,Fire coral,100,2,2,0,0,0,8,10
3,A3,CNAT,11022021,FC,Fire coral,100,3,1,0,0,0,8,9
3,B1,CNAT,11022021,FH,Fire Coral X CCA,100,1,2,0,1,0,6,9
3,B2,CNAT,11022021,FH,Fire Coral X CCA,100,2,8,0,0,0,1,9
3,B3,CNAT,11022021,FH,Fire Coral X CCA,100,3,7,0,0,0,3,10
4,A1,CNAT,11022021,FH,Fire Coral X CCA,100,4,3,0,0,0,6,9
4,A2,CNAT,11022021,PC,PPL control,100,4,4,0,0,0,5,9
4,A3,CNAT,11022021,EP,PPL,1000,4,10,0,0,0,0,10
4,B1,CNAT,11022021,FH,Fire Coral X CCA,100,5,3,0,0,0,6,9
4,B2,CNAT,11022021,PC,PPL control,100,5,10,0,0,0,0,10
4,B3,CNAT,11022021,EP,PPL,1000,5,0,0,0,0,10,10
5,A1,CNAT,11022021,PC,PPL control,100,1,5,0,0,0,1,6
5,A2,CNAT,11022021,PC,PPL control,100,2,7,0,0,0,2,9
5,A3,CNAT,11022021,PC,PPL control,100,3,8,0,0,0,1,9
5,B1,CNAT,11022021,EP,PPL,1000,1,2,0,0,0,8,10
5,B2,CNAT,11022021,EP,PPL,1000,2,3,0,0,0,7,10
5,B3,CNAT,11022021,EP,PPL,1000,3,0,0,0,0,9,9
6,A1,CNAT,11022021,HC,HLB control,100,1,4,0,0,0,4,8
6,A2,CNAT,11022021,HC,HLB control,100,2,7,0,0,0,2,9
6,A3,CNAT,11022021,HC,HLB control,100,3,9,0,0,0,0,9
6,B1,CNAT,11022021,EH,HLB,1000,1,3,0,0,0,8,11
6,B2,CNAT,11022021,EH,HLB,1000,2,5,0,0,0,5,10
6,B3,CNAT,11022021,EH,HLB,1000,3,7,0,0,0,3,10
7,A1,CNAT,11022021,HC,HLB control,100,4,9,0,0,0,1,10
7,A2,CNAT,11022021,EH,HLB,1000,4,9,0,0,0,1,10
7,A3,CNAT,11022021,CC,C18 control,100,4,8,0,0,0,2,10
7,B1,CNAT,11022021,HC,HLB control,100,5,9,0,0,0,0,9
